season,episode,round,competitor_id,competitor,Gender,Choice Binary,eliminated,dish,starting_funds,winner_binary,ending_funds,pantry_forced_error,pantry_unforced_error,auctions_won,auction_item1_type,auction_item1_description,auction_item1_winning_bid,auction_item2_type,auction_item2_description,auction_item2_winning_bid,auction_item3_type,auction_item3_description,auction_item3_winning_bid,auction_item4_type,auction_item4_description,auction_item4_winning_bid,auction_money_spent,total_sabotages_received,fines,sabatoge1_type,sabatoge1_description,sabatoge2_type,sabatoge2_description,sabotage3_type,sabotage3_description
2,13,2,51,Gregory,M,FALSE,FALSE,quiche,24300,FALSE,14300,FALSE,TRUE,2,,,,equipment,must replace utensils with a pastry cutter,5700,ingredients,"replace protein, veggies, and cheese w/ yard waste",4300,,,,10000,1,,ingredients,swap opponents dough ingredients,,,,
2,13,2,52,Bryan,M,FALSE,TRUE,quiche,16600,FALSE,16600,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,swap opponents dough ingredients,ingredients,"replace protein, veggies, and cheese w/ yard waste",,
2,13,3,49,Emmanuel,M,FALSE,TRUE,steamed mussels,10100,FALSE,10100,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,swap heat source with iron/steamer,,,,
2,13,3,51,Gregory,M,FALSE,FALSE,steamed mussels,14300,TRUE,4100,FALSE,FALSE,1,equipment,swap heat source with iron/steamer,10200,,,,,,,,,,10200,0,,,,,,,
3,1,1,53,Millie,F,TRUE,FALSE,BLT,25000,FALSE,15000,FALSE,FALSE,1,,,,ingredients,swap out bread for bread crumbs,10000,,,,,,,10000,1,,ingredients,swap ingredients for other B/L/T ingredients,,,,
3,1,1,54,Brandon,M,TRUE,TRUE,BLT,25000,FALSE,21300,FALSE,FALSE,1,,,,,,,,,,distraction,stop cooking to make mayo,3700,3700,2,,ingredients,swap ingredients for other B/L/T ingredients,equipment,must cook on a shovel,,
3,1,1,55,Davina,F,TRUE,FALSE,BLT,25000,FALSE,18000,FALSE,TRUE,1,ingredients,swap ingredients for other B/L/T ingredients,7000,,,,,,,,,,7000,0,,,,,,,
3,1,1,56,Johnny,M,TRUE,FALSE,BLT,25000,FALSE,17000,FALSE,FALSE,1,,,,,,,equipment,must cook on a shovel,8000,,,,8000,3,,ingredients,swap ingredients for other B/L/T ingredients,ingredients,swap out bread for bread crumbs,distraction,stop cooking to make mayo
3,1,2,53,Millie,F,TRUE,FALSE,Ramen,15000,FALSE,6800,FALSE,FALSE,3,,,,ingredients,replace broth/stock w/ tea,1300,ingredients,lose your noodles,6400,penalty,broke rules,500,8200,1,,equipment,replace cooking and mixing vessels w/ ramen bowls,,,,
3,1,2,55,Davina,F,TRUE,TRUE,Ramen,18000,FALSE,18000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,replace cooking and mixing vessels w/ ramen bowls,,,,
3,1,2,56,Johnny,M,FALSE,FALSE,Ramen,17000,FALSE,5100,FALSE,FALSE,1,equipment,replace cooking and mixing vessels w/ ramen bowls,11900,,,,,,,,,,11900,2,,ingredients,replace broth/stock w/ tea,ingredients,lose your noodles,,
3,1,3,53,Millie,F,FALSE,TRUE,Souffle,6800,FALSE,2800,FALSE,FALSE,1,ingredients,replace sugar with popping candy,4000,,,,,,,,,,4000,1,,distraction,must cook in a poofy souffle suit,,,,
3,1,3,56,Johnny,M,FALSE,FALSE,Souffle,5100,TRUE,2200,FALSE,FALSE,1,,,,distraction,must cook in a poofy souffle suit,2900,,,,,,,2900,1,,ingredients,replace sugar with popping candy,,,,
3,2,1,57,Frankie,M,TRUE,FALSE,Cocktail + Hors D'oevre,25000,FALSE,23000,FALSE,FALSE,1,ingredients,force an opponent to use with bottom shelf ingredients,2000,,,,,,,,,,2000,1,,equipment,force opponents to use different heat source,,,,
3,2,1,58,Charles,F,TRUE,TRUE,Cocktail + Hors D'oevre,25000,FALSE,25000,TRUE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,force an opponent to use with bottom shelf ingredients,,,,
3,2,1,59,Gwen,F,TRUE,FALSE,Cocktail + Hors D'oevre,25000,FALSE,20800,FALSE,FALSE,1,,,,,,,distraction,make 3 cocktails for alton,4200,,,,4200,1,,equipment,force opponents to use different heat source,,,,
3,2,1,60,Brian,M,TRUE,FALSE,Cocktail + Hors D'oevre,25000,FALSE,17000,FALSE,FALSE,1,,,,equipment,force opponents to use different heat source,8000,,,,,,,8000,2,,equipment,force opponents to use different heat source,distraction,make 3 cocktails for alton,,
3,2,2,57,Frankie,M,TRUE,FALSE,Breakfast Burrito,23000,FALSE,16000,FALSE,FALSE,1,,,,distraction,must cook the entire meal in bed,7000,,,,,,,7000,1,,equipment,must cook everything in a vertical egg cooker,,,,
3,2,2,59,Gwen,F,FALSE,TRUE,Breakfast Burrito,20800,FALSE,20800,FALSE,FALSE,0,,,,,,,,,,,,,0,0,,,,,,,
3,2,2,60,Brian,M,TRUE,FALSE,Breakfast Burrito,17000,FALSE,11000,FALSE,TRUE,1,equipment,must cook everything in a vertical egg cooker,6000,,,,,,,,,,6000,1,,distraction,must cook the entire meal in bed,,,,
3,2,3,57,Frankie,M,FALSE,TRUE,Bread Pudding,16000,FALSE,16000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,replace all ingredients for fridge drawer,,,,
3,2,3,60,Brian,M,FALSE,FALSE,Bread Pudding,11000,TRUE,6000,FALSE,FALSE,1,ingredients,replace all ingredients for fridge drawer,5000,,,,,,,,,,5000,0,,,,,,,
3,3,1,61,Emily,F,TRUE,FALSE,Pesto Pasta,25000,FALSE,19400,FALSE,FALSE,1,ingredients,must harvest pasta from a pasta picture of alton,5600,,,,,,,,,,5600,1,,equipment,must use sheet pans as cooking vessel,,,,
3,3,1,62,Tommy,M,TRUE,FALSE,Pesto Pasta,25000,FALSE,21000,FALSE,FALSE,1,,,,distraction,must get herbs from bag of lawn trimmings,4000,,,,,,,4000,1,,distraction,must harvest pasta from a pasta picture of alton,,,,
3,3,1,63,Sian,F,TRUE,TRUE,Pesto Pasta,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,distraction,must harvest pasta from a pasta picture of alton,ingredients,must get herbs from bag of lawn trimmings,,
3,3,1,64,Steve,M,TRUE,FALSE,Pesto Pasta,25000,FALSE,20000,FALSE,FALSE,1,,,,,,,equipment,must use sheet pans as cooking vessel,5000,,,,5000,1,,distraction,must harvest pasta from a pasta picture of alton,,,,
3,3,2,61,Emily,F,FALSE,FALSE,Hawaiian Lunch Plate,19400,FALSE,12000,FALSE,FALSE,2,distraction,must cook with only pinky and thumb on one hand,1600,equipment,must cook and mix in coconuts and pineapples,5800,,,,,,,7400,0,,,,,,,
3,3,2,62,Tommy,M,TRUE,FALSE,Hawaiian Lunch Plate,21000,FALSE,21000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,distraction,must cook with only pinky and thumb on one hand,,,,
3,3,2,64,Steve,M,TRUE,TRUE,Hawaiian Lunch Plate,20000,FALSE,20000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,must cook and mix in coconuts and pineapples,,,,
3,3,3,61,Emily,F,FALSE,TRUE,Muffins,12000,FALSE,5900,FALSE,FALSE,1,equipment,"measure, mix, and bake in muffin tins",6100,,,,,,,,,,6100,1,,distraction,replace oil from oil capsules,,,,
3,3,3,62,Tommy,M,FALSE,FALSE,Muffins,21000,TRUE,19000,FALSE,FALSE,1,,,,distraction,replace oil from oil capsules,2000,,,,,,,2000,1,,equipment,measure and mixing in muffin tins,,,,
3,4,1,65,Tiffany,F,TRUE,FALSE,pea soup,25000,FALSE,21400,FALSE,FALSE,1,,,,,,,distraction,must cook tied together with another chef,3600,,,,3600,2,,ingredients,replace peas with pea substitutes,ingredients,split basket between opponents,,
3,4,1,66,Lauren,M,TRUE,TRUE,pea soup,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace peas with pea substitutes,distraction,must cook tied together with another chef,,
3,4,1,67,Kate,F,TRUE,FALSE,pea soup,25000,FALSE,17300,FALSE,FALSE,1,,,,ingredients,split basket between opponents,7700,,,,,,,7700,2,,ingredients,replace peas with pea substitutes,distraction,must cook tied together with another chef,,
3,4,1,68,Terry,M,TRUE,FALSE,pea soup,25000,FALSE,15900,FALSE,FALSE,1,ingredients,replace peas with pea substitutes,9100,,,,,,,,,,9100,1,,ingredients,split basket between opponents,,,,
3,4,2,65,Tiffany,F,TRUE,FALSE,lamb chop dinner,21400,FALSE,21400,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace lamb chops with overcooked/chopped lamb,ingredients,must incorporate a mysterious green jar,,
3,4,2,67,Kate,F,TRUE,FALSE,lamb chop dinner,17300,FALSE,7100,FALSE,FALSE,1,ingredients,replace lamb chops with overcooked/chopped lamb,10200,,,,,,,,,,10200,1,,equipment,limited to 3 tools in the kitchen,,,,
3,4,2,68,Terry,M,FALSE,TRUE,lamb chop dinner,15900,FALSE,10900,FALSE,FALSE,2,,,,ingredients,must incorporate a mysterious green jar,1000,equipment,limited to 3 tools in the kitchen,4000,,,,5000,1,,ingredients,replace lamb chops with overcooked/chopped lamb,,,,
3,4,3,65,Tiffany,F,FALSE,FALSE,chocolate mousse,21400,TRUE,16600,FALSE,FALSE,1,equipment,trade whisk and mixer for gigantic whisk,4800,,,,,,,,,,4800,0,,,,,,,
3,4,3,67,Kate,F,FALSE,TRUE,chocolate mousse,7100,FALSE,7100,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,trade whisk and mixer for gigantic whisk,,,,
3,5,1,69,Nikos,M,TRUE,TRUE,cobb salad,25000,FALSE,16500,FALSE,FALSE,1,,,,,,,,,,distraction,must plate with corn cobb holders,8500,8500,2,,equipment,must share tools with 2 other opponents,ingredients,must replace 3 ingredients with like items,,
3,5,1,70,Tom,F,TRUE,FALSE,cobb salad,25000,FALSE,8600,FALSE,TRUE,2,,,,ingredients,must replace 3 ingredients with like items,10100,ingredients,must cook everything in their cobb salad,6300,,,,16400,2,,equipment,must share tools with 2 other opponents,,distraction,must plate with corn cobb holders,
3,5,1,71,Janet,F,TRUE,FALSE,cobb salad,25000,FALSE,15800,FALSE,FALSE,1,equipment,must share tools with 2 other opponents,9200,,,,,,,,,,9200,0,,,,,,,
3,5,1,72,Lor,M,TRUE,FALSE,cobb salad,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,equipment,must share tools with 2 other opponents,ingredients,must cook everything in their cobb salad,,
3,5,2,70,Tom,F,TRUE,FALSE,enchiladas,8600,FALSE,8600,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,must switch baskets with pinata ingredients,equipment,must replace all equipment with a build a station,,
3,5,2,71,Janet,F,TRUE,TRUE,enchiladas,15800,FALSE,15800,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,must switch baskets with pinata ingredients,ingredients,"must use ""red or green"" ingredients",,
3,5,2,72,Lor,M,FALSE,FALSE,enchiladas,25000,FALSE,6800,FALSE,FALSE,3,ingredients,must switch baskets with pinata ingredients,2000,ingredients,"must use ""red or green"" ingredients",2200,equipment,must replace all equipment with a build a station,14000,,,,18200,0,,,,,,,
3,5,3,70,Tom,F,FALSE,FALSE,layer cake,8600,TRUE,8600,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,replace hand tools and mixers with bricklaying kit,,,,
3,5,3,72,Lor,M,FALSE,TRUE,layer cake,6800,FALSE,2800,FALSE,FALSE,1,equipment,replace hand tools and mixers with bricklaying kit,4000,,,,,,,,,,4000,0,,,,,,,
3,6,1,73,Matthew,M,TRUE,FALSE,poutine,25000,FALSE,16500,FALSE,FALSE,1,ingredients,replace cheese with different cheese sources,8500,,,,,,,,,,8500,2,,equipment,replace knives with ice skate,distraction,must cook fries one at a time,,
3,6,1,74,Erica,F,TRUE,FALSE,poutine,25000,FALSE,16500,FALSE,FALSE,1,,,,equipment,replace knives with ice skate,8500,,,,,,,8500,1,,ingredients,replace cheese with different cheese sources,,,,
3,6,1,75,Angie,F,TRUE,FALSE,poutine,25000,FALSE,18000,FALSE,FALSE,1,,,,,,,distraction,must cook fries one at a time,7000,,,,7000,1,,ingredients,replace cheese with different cheese sources,,,,
3,6,1,76,Roberto,M,TRUE,TRUE,poutine,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,replace cheese with different cheese sources,,,,
3,6,2,73,Matthew,M,FALSE,FALSE,General Tso's Chicken,16500,FALSE,16500,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,distraction,must shop with shopping takeout containers,,,,
3,6,2,74,Erica,F,TRUE,FALSE,General Tso's Chicken,16500,FALSE,1300,FALSE,FALSE,2,distraction,must shop with shopping takeout containers,6000,,,,equipment,must cook on an inverted wok,9200,,,,15200,1,,ingredients,replace proteins with vacuum sealed food,,,,
3,6,2,75,Angie,F,TRUE,TRUE,General Tso's Chicken,18000,FALSE,11900,FALSE,TRUE,1,,,,ingredients,replace proteins with vacuum sealed food,6100,,,,,,,6100,1,,equipment,must cook on an inverted wok,,,,
3,6,3,73,Matthew,M,FALSE,TRUE,Carrot Cake,16500,FALSE,14500,FALSE,FALSE,1,equipment,replace all equipment with gardening tools,2000,,,,,,,,,,2000,0,,,,,,,
3,6,3,74,Erica,F,FALSE,FALSE,Carrot Cake,1300,TRUE,1300,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,replace all equipment with gardening tools,,,,
3,7,1,77,Sammy,M,TRUE,FALSE,Risotto,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,replace proteins with less desirable proteins,,,,
3,7,1,78,Nicole,F,TRUE,TRUE,Risotto,25000,FALSE,15800,FALSE,FALSE,3,ingredients,replace proteins with less desirable proteins,1100,equipment,replace pots with 7 tiny pots,3900,equipment,must use straws to put liquid into risotto pans,4200,,,,9200,0,,,,,,,
3,7,1,79,Jenn,F,TRUE,FALSE,Risotto,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,replace proteins with less desirable proteins,,,,
3,7,1,80,Michael,M,TRUE,FALSE,Risotto,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,3,,ingredients,replace proteins with less desirable proteins,equipment,replace pots with 7 tiny pots,equipment,must use straws to put liquid into risotto pans
3,7,2,77,Sammy,M,TRUE,FALSE,Reuben,25000,FALSE,13000,FALSE,FALSE,1,,,,ingredients,replace bread with matzo ball soup,12000,,,,,,,12000,1,,equipment,replace knives with box cutter or plastic knives,,,,
3,7,2,79,Jenn,F,FALSE,FALSE,Reuben,25000,FALSE,21500,FALSE,FALSE,1,,,,,,,distraction,must wait for their number to be called,3500,,,,3500,1,,equipment,replace knives with box cutter or plastic knives,,,,
3,7,2,80,Michael,M,TRUE,TRUE,Reuben,25000,FALSE,19500,TRUE,FALSE,1,equipment,replace knives with box cutter or plastic knives,5500,,,,,,,,,,5500,2,,ingredients,replace bread with matzo ball soup,distraction,must wait for their number to be called,,
3,7,3,77,Sammy,M,FALSE,TRUE,Baked Alaska,13000,FALSE,13000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,distraction,must ice pick out sugar/eggs/flour from ice block,,,,
3,7,3,79,Jenn,F,FALSE,FALSE,Baked Alaska,21500,TRUE,18500,FALSE,FALSE,1,distraction,must ice pick out sugar/eggs/flour from ice block,3000,,,,,,,,,,3000,0,,,,,,,
3,8,1,81,Jason,M,TRUE,FALSE,French Onion Soup,25000,FALSE,23400,FALSE,FALSE,1,,,,,,,distraction,must reassemble butter stick from individual sticks,1600,,,,1600,2,,ingredients,replace onions with substitutes,equipment,must cook in ladles,,
3,8,1,82,Renae,F,TRUE,FALSE,French Onion Soup,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace onions with substitutes,distraction,must reassemble butter stick from individual sticks,,
3,8,1,83,Kimber,F,TRUE,TRUE,French Onion Soup,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,replace onions with substitutes,,,,
3,8,1,84,Chris,M,TRUE,FALSE,French Onion Soup,25000,FALSE,17000,FALSE,TRUE,2,ingredients,replace onions with substitutes,5000,equipment,must cook in ladles,3000,,,,,,,8000,0,,,,,,,
3,8,2,81,Jason,M,TRUE,FALSE,Blankened Fish,23400,FALSE,10900,FALSE,FALSE,2,ingredients,swap competitors fish with mystery fish,4900,,,,equipment,must use a rotating heat source,7600,,,,12500,1,,ingredients,must replace spices with spice mixes,,,,
3,8,2,82,Renae,F,FALSE,TRUE,Blankened Fish,25000,FALSE,22400,FALSE,FALSE,1,,,,ingredients,must replace spices with spice mixes,2600,,,,,,,2600,2,,ingredients,swap competitors fish with mystery fish,equipment,must use a rotating heat source,,
3,8,2,84,Chris,M,TRUE,FALSE,Blankened Fish,17000,FALSE,17000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,swap competitors fish with mystery fish,,,,
3,8,3,81,Jason,M,FALSE,TRUE,Banana Split,10900,FALSE,10900,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,equipment,must make ice cream in ice cream shaker,ingredients,puree opponents banana,,
3,8,3,84,Chris,M,FALSE,FALSE,Banana Split,17000,TRUE,7200,FALSE,FALSE,2,equipment,must make ice cream in ice cream shaker,6000,ingredients,puree opponents banana,3800,,,,,,,9800,0,,,,,,,
3,9,1,85,Diana,F,TRUE,FALSE,Sloppy Joes,25000,FALSE,23500,FALSE,FALSE,1,,,,,,,distraction,must finish their dish in the next five minutes (@15 minutes),1500,,,,1500,2,,ingredients,swap meat with mystery meats,equipment,replace tools with balls of foil/plastic,,
3,9,1,86,Perry,M,TRUE,FALSE,Sloppy Joes,25000,FALSE,15300,FALSE,TRUE,1,,,,equipment,replace tools with balls of foil/plastic,9700,,,,,,,9700,1,,ingredients,swap meat with mystery meats,,,,
3,9,1,87,Dre,M,TRUE,FALSE,Sloppy Joes,25000,FALSE,20500,FALSE,FALSE,1,ingredients,swap meat with mystery meats,4500,,,,,,,,,,4500,1,,distraction,must finish their dish in the next five minutes (@15 minutes),,,,
3,9,1,88,Christina,F,TRUE,TRUE,Sloppy Joes,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,swap meat with mystery meats,,,,
3,9,2,85,Diana,F,FALSE,FALSE,Chicken Picatta,23500,FALSE,18000,FALSE,FALSE,1,ingredients,swap all of opponents chicken,5500,,,,,,,,,,5500,1,,ingredients,swip citrus with lemon mirangue pie,,,,
3,9,2,86,Perry,M,TRUE,FALSE,Chicken Picatta,15300,FALSE,15300,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,swap all of opponents chicken,,,,
3,9,2,87,Dre,M,TRUE,TRUE,Chicken Picatta,20500,FALSE,16200,FALSE,FALSE,1,,,,ingredients,swip citrus with lemon mirangue pie,4300,,,,,,,4300,1,,ingredients,swap all of opponents chicken,,,,
3,9,3,85,Diana,F,FALSE,TRUE,Funnel Cake,18000,FALSE,16800,FALSE,FALSE,1,,,,distraction,must fry in separated salad dressing,1200,,,,,,,1200,1,,distraction,must play ball toss to win back ingredients,,,,
3,9,3,86,Perry,M,FALSE,FALSE,Funnel Cake,15300,TRUE,9300,FALSE,FALSE,1,distraction,must play ball toss to win back ingredients,6000,,,,,,,,,,6000,1,,distraction,must fry in separated salad dressing,,,,
3,10,1,89,Jaron,M,TRUE,FALSE,Frittata,25000,FALSE,16500,FALSE,FALSE,1,ingredients,swap out two of your opponents eggs w/ poached or crushed eggs,8500,,,,,,,,,,8500,1,,equipment,must cook in eggshells,,,,
3,10,1,90,Frances,F,TRUE,FALSE,Frittata,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,distraction,get your ingredients from a quarter vending machine,,,,
3,10,1,91,Abby,F,TRUE,FALSE,Frittata,25000,FALSE,16900,FALSE,FALSE,1,,,,,,,equipment,must cook in eggshells,8100,,,,8100,1,,ingredients,swap out two of your opponents eggs w/ poached or crushed eggs,,,,
3,10,1,92,Lemar,M,TRUE,TRUE,Frittata,25000,FALSE,15500,FALSE,FALSE,1,,,,distraction,get your ingredients from a quarter vending machine,9500,,,,,,,9500,1,,ingredients,swap out two of your opponents eggs w/ poached or crushed eggs,,,,
3,10,2,89,Jaron,M,FALSE,FALSE,Po'boy,16500,FALSE,16500,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,swap opponent proteins w/ canned roast beef/canned oysters,ingredients,must replace bread with a king cake,,
3,10,2,90,Frances,F,TRUE,FALSE,Po'boy,25000,FALSE,15500,FALSE,FALSE,2,ingredients,swap opponent proteins w/ canned roast beef/canned oysters,2000,ingredients,must replace bread with a king cake,7500,,,,,,,9500,1,,equipment,replace cooking equipment with yard sale equipment,,,,
3,10,2,91,Abby,F,TRUE,TRUE,Po'boy,16900,FALSE,12600,FALSE,FALSE,1,,,,,,,equipment,replace cooking equipment with yard sale equipment,4300,,,,4300,1,,ingredients,swap opponent proteins w/ canned roast beef/canned oysters,,,,
3,10,3,89,Jaron,M,FALSE,TRUE,Steak Diane,16500,FALSE,13000,FALSE,FALSE,1,,,,ingredients,replace opponents cognac with congnac candies,3500,,,,,,,3500,1,,ingredients,opponents meat unevenly chopped,,,,
3,10,3,90,Frances,F,FALSE,FALSE,Steak Diane,15500,TRUE,6900,FALSE,FALSE,1,ingredients,opponents meat unevenly chopped,8600,,,,,,,,,,8600,1,,ingredients,replace opponents cognac with congnac candies,,,,
3,11,1,93,Chris,M,TRUE,FALSE,Sliders,25000,FALSE,8800,FALSE,FALSE,1,,,,equipment,replace equipment with the ultimate grilling apron,16200,,,,,,,16200,2,,equipment,choose heat options for all competitors,distraction,must tweezer sesame seeds off of a bun,,
3,11,1,94,Robin,F,FALSE,FALSE,Sliders,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,choose heat options for all competitors,,,,
3,11,1,95,Maverick,M,TRUE,TRUE,Sliders,25000,FALSE,16900,FALSE,FALSE,1,equipment,choose heat options for all competitors,8100,,,,,,,,,,8100,0,,,,,,,
3,11,1,96,Cole,M,TRUE,FALSE,Sliders,25000,FALSE,19000,FALSE,FALSE,1,,,,,,,distraction,must tweezer sesame seeds off of a bun,6000,,,,6000,2,,equipment,choose heat options for all competitors,equipment,replace equipment with the ultimate grilling apron,,
3,11,2,93,Chris,M,TRUE,FALSE,Clam Bake,8800,FALSE,8800,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace clams w/ razor clams/geoduck,equipment,use fuel tabs for heat,,
3,11,2,94,Robin,F,FALSE,FALSE,Clam Bake,25000,FALSE,21900,FALSE,FALSE,1,ingredients,replace clams w/ razor clams/geoduck,3100,,,,,,,,,,3100,0,,,,,,,
3,11,2,96,Cole,M,TRUE,TRUE,Clam Bake,19000,FALSE,14000,FALSE,FALSE,1,,,,equipment,use fuel tabs for heat,5000,,,,,,,5000,1,,ingredients,replace clams w/ razor clams/geoduck,,,,
3,11,3,93,Chris,M,FALSE,FALSE,BBQ Chicken Sandwich,8800,TRUE,6800,FALSE,FALSE,1,,,,,,,equipment,force your opponent to use a claw hand,2000,,,,2000,2,,ingredients,replace opponents chicken w/ turducken,equipment,force your opponent to use a claw hand,,
3,11,3,94,Robin,F,FALSE,TRUE,BBQ Chicken Sandwich,21900,FALSE,14800,FALSE,FALSE,2,ingredients,replace opponents chicken w/ turducken,500,equipment,force your opponent to use a claw hand,6600,,,,,,,7100,1,,equipment,force your opponent to use a claw hand,,,,
3,12,1,97,Jet Tila,M,FALSE,FALSE,Taquitos,25000,FALSE,13400,FALSE,FALSE,2,,,,equipment,must cook in a tiny kitchen,1500,distraction,force two opponents to switch stations and dishes with an opponent,10100,,,,11600,1,,ingredients,replace opponent proteins with frog legs/roast beef/fish sticks,,,,
3,12,1,98,Antonia Lofaso,F,FALSE,FALSE,Taquitos,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace opponent proteins with frog legs/roast beef/fish sticks,distraction,force two opponents to switch stations and dishes with an opponent,,
3,12,1,99,Simon Mujumdar,M,FALSE,TRUE,Taquitos,25000,FALSE,23000,FALSE,TRUE,1,ingredients,replace opponent proteins with frog legs/roast beef/fish sticks,2000,,,,,,,,,,2000,0,,,,,,,
3,12,1,100,Geoffrey Zakarian,M,FALSE,FALSE,Taquitos,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace opponent proteins with frog legs/roast beef/fish sticks,distraction,force two opponents to switch stations and dishes with an opponent,,
3,12,2,97,Jet Tila,M,FALSE,TRUE,Meatball Sub,13400,FALSE,13400,FALSE,FALSE,0,,,,,,,,,,,,,0,3,,ingredients,swap opponent proteins with meatball lottery,ingredients,submerge an opponents bread in bread,distraction,must wear periscope glasses
3,12,2,98,Antonia Lofaso,F,FALSE,FALSE,Meatball Sub,25000,FALSE,25000,FALSE,TRUE,0,,,,,,,,,,,,,0,1,,ingredients,swap opponent proteins with meatball lottery,,,,
3,12,2,100,Geoffrey Zakarian,M,FALSE,FALSE,Meatball Sub,25000,FALSE,2900,FALSE,FALSE,3,ingredients,swap opponent proteins with meatball lottery,10200,ingredients,submerge an opponents bread in bread,7500,distraction,must wear periscope glasses,4400,,,,22100,0,,,,,,,
3,12,3,98,Antonia Lofaso,F,FALSE,FALSE,Fruit Tart,25000,TRUE,22000,FALSE,FALSE,1,ingredients,switch opponents entire basket from a tree,3000,,,,,,,,,,3000,1,,ingredients,switch opponents entire basket from a tree,,,,
3,12,3,100,Geoffrey Zakarian,M,FALSE,TRUE,Fruit Tart,2900,FALSE,2900,FALSE,FALSE,0,,,,,,,,,,,,,0,0,,,,,,,
4,1,1,101,Shane,M,TRUE,FALSE,Breakfast Sandwhich,25000,FALSE,16200,FALSE,TRUE,1,,,,ingredients,breakfast buffet voucher (replace ingredients except eggs),8800,,,,,,,8800,0,,,,,,,
4,1,1,102,Morgan,F,TRUE,FALSE,Breakfast Sandwhich,25000,FALSE,21900,FALSE,FALSE,1,equipment,replace heat sources with a heat gun,3100,,,,,,,,,,3100,1,,distraction,"must carry egg in an egg head, lose $500 if you drop it",,,,
4,1,1,103,Candace,F,TRUE,FALSE,Breakfast Sandwhich,25000,FALSE,24300,FALSE,FALSE,1,,,,,,,distraction,"must carry egg in an egg head, lose $500 if you drop it",700,,,,700,1,,equipment,replace heat sources with a heat gun,,,,
4,1,1,104,Nate,M,TRUE,TRUE,Breakfast Sandwhich,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,ingredients,breakfast buffet voucher (replace ingredients except eggs),,,,
4,1,2,101,Shane,M,FALSE,FALSE,Bolegnese,16200,FALSE,16200,FALSE,FALSE,0,,,,,,,,,,,,,0,0,,,,,,,
4,1,2,102,Morgan,F,TRUE,TRUE,Bolegnese,21900,FALSE,21900,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,ingredients,replace tomato products with salsa products,equipment,must use moka pot as only cooking vessel,,
4,1,2,103,Candace,F,TRUE,FALSE,Bolegnese,24300,FALSE,15800,FALSE,FALSE,2,ingredients,replace tomato products with salsa products,2600,equipment,must use moka pot as only cooking vessel,5900,,,,,,,8500,0,,,,,,,
4,1,3,101,Shane,M,FALSE,FALSE,tres leches,16200,TRUE,5000,FALSE,FALSE,1,equipment,limited to 3 tools in the kitchen,11200,,,,,,,,,,11200,1,,ingredients,must harvest milk products from a fake cow,,,,
4,1,3,103,Candace,F,FALSE,TRUE,tres leches,15800,FALSE,10800,FALSE,FALSE,1,,,,ingredients,must harvest milk products from a fake cow,5000,,,,,,,5000,1,,equipment,limited to 3 tools in the kitchen,,,,
